Drink,Name,Main Alcohol,Type of Drink,Sweet or Not,Flavor,Mixes
52,Black Russian, Vodka	 Kahlua,2-Liquor Drink,Sweet,Bitter,Over ice
53,Dirty Mother, Brandy	 Kahlua,2-Liquor Drink,Sweet,Bitter,Over ice
54,Brave Bull, Tequila	 Kahlua,2-Liquor Drink,Sweet,Bitter,Over ice
