Drink,Name,Main Alcohol,Type of Drink,Sweet or Not,Flavor,Mixes
5,Rum and Coke,Light Rum,Highball Cocktail,Sweet,Boozy,Coke
6,Cuba Libre,Light Rum,Highball Cocktail,Sweet,Boozy,Coke	Squeeze and garnish with lime
10,Old Fashioned, Bourbon,Highball Cocktail,Sweet,Boozy,Soda	1/2oz simple syrup or sugar  2 dashes bitters	1 orange slice	1 cherry all mashed. Flag
105,Lemon Drop, Vodka	 Tripe-Sec,Shot,Sweet,Boozy,Splash Lemon Juice	Sugar (Optional)
119,Mind Eraser, Kahlua	 Vodka,Shot,Sweet,Boozy,Top with Soda	Layered
123,Chocolate Cake,Lemon Vodka	 Frangelico,Shot,Sweet,Boozy,Lemon wedge with sugar
124,Birthday Cake,Vanilla Vodka	 Frangelico,Shot,Sweet,Boozy,Lemon wedge with sugar
