Name,Glass,Main Alcohol,Other Alcohols,Mixes,Garnish
Zombie,Collins/Specialty with ice,1oz Light Rum,1/2oz Creme de Almond,1/2oz Triple-Sec,1/2oz Bacardi 151 on top	1/2 Sweet and Sour	1/2 Orange Juice	Pineapple Wedge/Cherry Flag
Green Zombie,Collins/Specialty with ice,1oz Light Rum,1/2oz Blue Curacao,1/2oz Amaretto,1/2oz Bacardi 151 on top	1/2 Sweet and Sour	1/2 Orange Juice	Pineapple Wedge/Cherry Flag
Singapore Sling,Collins/Specialty with ice,1oz Gin,1/2oz Blackberry Brandy/Cherry Brandy on top,1/2oz Grenadine,2oz Sweet and Sour	 Soda	Pineapple Wedge/Cherry Flag
Fog Cutter,Collins/Specialty with ice,1oz Light Rum,1/2oz Brandy,1/2oz Gin,1/2 Sweet and Sour	1/2 Orange Juice	Pineapple Wedge/Cherry Flag
Blue Hawaiian,Collins/Specialty with ice,1oz Light Rum,1/2oz Blue Curacao,2oz Pineapple Juice,2oz Sweet and Sour	Pineapple Wedge/Cherry Flag
Hurricane,Collins/Specialty with ice,1oz Light Rum,1oz Myers' Rum,,1/4oz Lime Juice	1/2 Sweet and Sour	1/2 Orange Juice	1/2oz Grenadine on top	Pineapple Wedge/Cherry Flag
Planter's Punch,Collins/Specialty with ice,1oz Myers' Rum,,1/2 Sweet and Sour,1/2 Orange Juice	1/2oz Grenadine on top	2 dashes bitters	 Pineapple Wedge/Cherry Flag
Rum Runner,Hurricane/Specialty,1/2oz Light Rum,1/2oz Dark Rum,1/2oz Blackberry Rum,1/2oz Creme de Banana	1-1/2oz Sweet and Sour	 Orange Juice	 Grenadine on top	Pineapple Wedge/Cherry Flag
Bahama Mama,Hurricane/Specialty,1oz Malibu Rum,,1/2oz Grenadine,1/2 Pineapple Juice	1/2 Oranje Juice	Pineapple Wedge/Cherry Flag
Pina Colada,Hurricane/Specialty,1oz Light Rum,,1oz Cream of Coconut Syrup,2oz Pineapple Juice	Pineapple wedge/cherry
Chi Chi,Hurricane/Specialty,1oz Vodka,,1oz Cream of Coconut Syrup,2oz Pineapple Juice	Pineapple wedge/cherry
B-52,Shot glass,1/2oz Kahlua, 1/2oz Bailey's, 1/2oz Grand Marnier,Layered
Mudslide,Shot glass,1/2oz Kahlua, 1/2oz Bailey's, 1/2oz Vodka,Layered
Depth Charge,Shot glass,1oz Any liquor,2/3 pint of beer
Lemon Drop,Shot glass,1oz Vodka,1/2oz Tripe-Sec,,Splash Lemon Juice	Sugar (Optional)
Kamakazi Shot,Shot glass,1oz Vodka,1/2oz Triple-Sec,,1/4oz Lime Juice
Poppers/Slammers,Rocks Glass,1oz Any liquor,,Splash 7up for dark alcohol, Coke for white alcohol
Purple Hooter,Shot glass,1oz Vodka,1/2oz Chambord,Splash Sour Mix
Orgasm,Shot glass,1/2oz Kahlua, 1/2oz Bailey's, 1/2oz Amaretto,Layered
Screaming Orgasm,Shot glass,1/2oz Kahlua, 1/2oz Bailey's, 1/2oz Amaretto, 1/2oz Vodka	Layered
Snakebite,Shot glass,1oz Yukon Jack,,1/4oz Lime Juice
Slippery Nipple,Shot glass,3/4oz Sambuca,1/4oz Bailey's
Buttery Nipple/Butterfinger,Shot glass,1/2oz Bailey's,1/2oz Butterscotch Schnapps
Liquid Cocaine,Shot glass,1/2oz Jagermeister, 1/2oz Rumplemintz/Goldschlager,1/4oz Bacardi 151
Oatmeal Cookie,Shot glass,1/4oz Butterscotch Schnapps, 1/4oz Bailey’s, 1/4oz Jagermeister, 1/4oz Goldschlager
Blowjob,Shot glass,1/2oz Bailey's, 1/2oz Amaretto, 1/2oz Frangelico,Layered
Cement Mixer,Shot glass,1oz Bailey's,,Drop Lime Juice
Hot Shots,Shot glass,1oz Cinnamon Schnapps,,Drop Tabasco
Mind Eraser,Shot glass,1/2oz Kahlua, 1/2oz Vodka,,Top with Soda	Layered
Silk Panties,Shot glass,1/2oz Peach Schnapps, 1/2oz Vodka
Pretty Pink Silk Panties,Shot glass,1/2oz Peach Schnapps, 1/2oz Vodka,,Splash Cranberrie Juice
Russian Rocketfuel,Shot glass,2oz Vodka,1/2oz Blue Curacao,Splash Energy Drink
Chocolate Cake,Shot glass,1-1/2oz Lemon Vodka,1/2oz Frangelico,,Lemon wedge with sugar
Birthday Cake,Shot glass,1-1/2oz Vanilla Vodka,1/2oz Frangelico,,Lemon wedge with sugar
